City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Montepuez,MZ,76.39,scattered clouds,-13.1256,38.9997,PembaAparthotel
1,Awjilah,LY,77.65,clear sky,29.1081,21.2869,
3,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
5,Florida,US,88.92,clear sky,28.7505,-82.5001,Sportsmens Cove
9,Port Blair,IN,80.42,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
13,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
19,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
20,Saint-Philippe,RE,75.47,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
21,Benjamin Constant,BR,87.93,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
26,Port-Gentil,GA,78.28,overcast clouds,-0.7193,8.7815,Fengshui Residence
29,Tela,HN,89.82,scattered clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
33,Marsh Harbour,BS,77.83,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
34,Hambantota,LK,79.38,few clouds,6.1241,81.1185,Bungalow 63
37,Sumbe,AO,76.28,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
51,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
52,Sao Jose Da Coroa Grande,BR,82.98,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
54,Cockburn Town,TC,84.16,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
56,Bosaso,SO,80.1,clear sky,11.2842,49.1816,Red Sea Hotel
60,Caravelas,BR,79.41,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
61,Karanpura,IN,79.18,clear sky,29.1018,75.092,Bala Ji Hotel
66,Iranshahr,IR,75.54,clear sky,27.2025,60.6848,نیک سرشت
69,Hithadhoo,MV,82.35,overcast clouds,-0.6,73.0833,Scoop Guest House
76,Sabha,LY,85.46,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
79,Lagos,NG,79.12,light rain,6.5833,3.75,
80,Nkhata Bay,MW,78.75,clear sky,-11.6066,34.2907,Mayoka Village
82,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
89,Cascais,PT,76.35,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
92,Abu Dhabi,AE,86.11,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
93,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
95,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
97,Sechura,PE,76.1,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
101,Buchanan,LR,78.96,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
102,Surt,LY,84.22,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
103,Mayumba,GA,77.31,broken clouds,-3.432,10.6554,LIKWALE LODGE
104,Vigia Del Fuerte,CO,79.09,light rain,6.5789,-76.8863,"Hotel ""El Parque"""
111,Bogo,PH,78.26,overcast clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
113,Piacabucu,BR,83.61,broken clouds,-10.4056,-36.4344,Piaçabuçu News
114,Dehloran,IR,77.86,clear sky,32.6941,47.2679,کافه گیم استورم
119,Cayenne,GF,81.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
120,Padang,ID,77.11,broken clouds,-0.9492,100.3543,Mercure Padang
129,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
135,Belmonte,BR,78.8,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
136,Jalu,LY,77.2,clear sky,29.0331,21.5482,صاحبة الفخامة
138,Mairana,BO,82.67,scattered clouds,-18.1167,-63.9333,Mi Terruño
139,Beroroha,MG,75.18,clear sky,-21.6667,45.1667,
146,Tabora,TZ,83.44,broken clouds,-5.0167,32.8,Barcelona Lodge
151,Agadez,NE,86.02,clear sky,19.75,10.25,
153,Bonthe,SL,80.62,light rain,7.5264,-12.505,Bonthe Holiday Village
154,Jibuti,DJ,81.82,broken clouds,11.5,42.5,Orchid Main Camp Goubet
161,Quelimane,MZ,78.75,clear sky,-17.8786,36.8883,Hotel Flamingo
164,Bubaque,GW,84.15,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
166,Acarau,BR,87.3,broken clouds,-2.8856,-40.12,castelo pizzaria
173,Itarema,BR,87.17,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
176,Sikandra,IN,76.12,clear sky,26.3667,79.65,Rahi Hotel
178,Matola,MZ,76.51,clear sky,-25.9622,32.4589,Guesthouse Yuba
180,Ler,SS,79.39,broken clouds,8.3018,30.1418,
182,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
185,Kisangani,CD,75.07,light rain,0.5167,25.2,Grand Ramela Hotel
188,Kudahuvadhoo,MV,82.85,heavy intensity rain,2.6708,72.8944,Niyama Private Islands Maldives
197,Quatre Cocos,MU,75.31,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
198,Inhambane,MZ,75.18,few clouds,-23.865,35.3833,Oceano
199,Cururupu,BR,88.03,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
202,Manta,EC,78.58,overcast clouds,-0.95,-80.7333,Balandra Hotel
206,Cabedelo,BR,86.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
208,Sao Joao Da Barra,BR,78.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
209,Kindu,CD,77.25,overcast clouds,-2.95,25.95,Résidence Okanda
217,Conceicao Do Araguaia,BR,87.71,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
218,Malakal,SS,82.74,broken clouds,9.5334,31.6605,Nile Palace Hotel
222,Oussouye,SN,89.78,overcast clouds,12.485,-16.5469,Auberge du Routard
224,Monrovia,LR,79.68,broken clouds,6.3005,-10.7969,Sunset Inn
