City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Montepuez,MZ,-13.1256,38.9997,76.39,51,28,10.42,scattered clouds
1,Awjilah,LY,29.1081,21.2869,77.65,29,3,9.01,clear sky
2,Busselton,AU,-33.65,115.3333,53.1,82,30,6.26,scattered clouds
3,Georgetown,MY,5.4112,100.3354,80.53,89,40,7.0,scattered clouds
4,Port Alfred,ZA,-33.5906,26.891,61.2,70,27,29.28,scattered clouds
5,Florida,US,28.7505,-82.5001,88.92,62,1,5.75,clear sky
6,Hermanus,ZA,-34.4187,19.2345,57.9,70,62,8.14,broken clouds
7,Henties Bay,NA,-22.116,14.2845,62.85,83,0,15.39,clear sky
8,Bredasdorp,ZA,-34.5322,20.0403,58.32,72,68,10.36,broken clouds
9,Port Blair,IN,11.6667,92.75,80.42,78,90,1.83,overcast clouds
10,Teguldet,RU,57.3064,88.1667,37.04,96,100,15.41,light rain
11,Port Elizabeth,ZA,-33.918,25.5701,62.1,72,20,26.46,few clouds
12,Ushuaia,AR,-54.8,-68.3,38.86,81,75,13.8,light rain
13,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,0,20.71,clear sky
14,Longyearbyen,SJ,78.2186,15.6401,19.24,79,40,4.61,scattered clouds
15,Truro,GB,50.2653,-5.0544,56.55,76,75,17.27,broken clouds
16,Faya,SA,18.3851,42.4509,66.31,38,6,5.19,clear sky
17,Semnan,IR,35.5729,53.3971,55.26,31,0,2.91,clear sky
18,Kelme,LT,55.6339,22.9342,39.22,83,82,12.35,broken clouds
19,Mahebourg,MU,-20.4081,57.7,75.49,78,40,10.36,scattered clouds
20,Saint-Philippe,RE,-21.3585,55.7679,75.47,81,81,12.44,broken clouds
21,Benjamin Constant,BR,-4.3831,-70.0311,87.93,70,40,8.05,scattered clouds
22,Dingle,PH,10.9995,122.6711,74.35,95,100,5.84,light rain
23,Narsaq,GL,60.9167,-46.05,37.62,78,90,3.44,overcast clouds
24,Vacaresti,RO,44.85,25.4833,63.3,99,99,5.91,overcast clouds
25,Klaksvik,FO,62.2266,-6.589,50.92,95,100,23.22,overcast clouds
