City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-10-23 16:05:32,-34.5322,20.0403,57.27,56,86,14.14
1,Mana,GF,2021-10-23 16:07:57,5.6592,-53.7767,82.63,80,100,5.88
2,Qaanaaq,GL,2021-10-23 16:06:40,77.484,-69.3632,-1.32,59,0,8.3
3,Saint-Francois,FR,2021-10-23 16:07:58,46.4154,3.9054,54.84,58,0,3.44
4,Butembo,CD,2021-10-23 16:07:58,0.15,29.2833,61.56,90,95,2.55
5,Saint-Philippe,RE,2021-10-23 16:06:30,-21.3585,55.7679,76.59,82,74,11.7
6,Edelira,PY,2021-10-23 16:07:59,-26.75,-55.2667,65.46,98,100,7.78
7,Lagoa,PT,2021-10-23 16:07:59,39.05,-27.9833,67.28,73,7,13.87
8,Laguna,US,2021-10-23 16:07:18,38.421,-121.4238,58.24,90,1,1.01
9,Paamiut,GL,2021-10-23 16:08:00,61.994,-49.6678,31.89,47,15,21.56
10,Ushuaia,AR,2021-10-23 16:05:15,-54.8,-68.3,44.22,87,90,31.07
11,Mogadishu,SO,2021-10-23 16:05:19,2.0371,45.3438,80.2,81,10,9.95
12,Yenisehir,TR,2021-10-23 16:05:13,40.2644,29.6531,62.65,63,40,2.3
13,Lebu,CL,2021-10-23 16:06:38,-37.6167,-73.65,53.89,64,98,5.75
14,Vestmannaeyjar,IS,2021-10-23 16:08:01,63.4427,-20.2734,47.39,87,90,9.22
15,Chimoio,MZ,2021-10-23 16:08:01,-19.1164,33.4833,87.49,29,38,8.12
16,Pombas,CV,2021-10-23 16:08:02,17.1503,-25.0201,82.18,71,0,14.03
17,Tasiilaq,GL,2021-10-23 16:08:03,65.6145,-37.6368,33.96,90,100,5.28
18,Temiscaming,CA,2021-10-23 16:08:03,46.7212,-79.0971,43.68,69,99,5.55
19,Kristiansund,NO,2021-10-23 16:08:04,63.1115,7.732,43.45,70,40,3.44
20,Rehoboth,NA,2021-10-23 16:08:04,-23.3167,17.0833,77.7,7,0,16.06
21,Harper,LR,2021-10-23 16:08:04,4.375,-7.7169,79.38,84,100,8.32
22,Dabakala,CI,2021-10-23 16:08:05,8.3667,-4.4333,85.37,63,100,3.78
23,Ribeira Grande,PT,2021-10-23 16:08:05,38.5167,-28.7,73.8,53,20,12.66
24,Upernavik,GL,2021-10-23 16:08:06,72.7868,-56.1549,19.08,82,71,4.07
25,San Ignacio,BZ,2021-10-23 16:08:06,17.1561,-89.0714,86.14,70,75,3.44
26,Golovino,RU,2021-10-23 16:08:06,55.9613,40.4251,41.41,74,92,11.5
27,Oranjemund,NA,2021-10-23 16:08:07,-28.55,16.4333,61.36,70,13,14.09
28,Tobermory,CA,2021-10-23 16:08:07,45.2501,-81.6665,47.3,79,100,2.46
29,Atar,MR,2021-10-23 16:08:08,20.5169,-13.0499,95.14,9,4,4.54
